[2018-08-17 00:03:22] [Info] Connect stdl.qq.com:80
[2018-08-17 00:03:22] [Info] Connect appstore.browser.qq.com:80
[2018-08-17 00:03:23] [Info] Disconnect stdl.qq.com:80
[2018-08-17 00:03:23] [Info] Disconnect appstore.browser.qq.com:80
[2018-08-17 00:03:23] [Info] Connect stdl.qq.com:80
[2018-08-17 00:03:23] [Info] Connect appstore.browser.qq.com:80
[2018-08-17 00:03:23] [Info] Connect stdl.qq.com:80
[2018-08-17 00:03:23] [Info] Connect appstore.browser.qq.com:80
[2018-08-17 00:03:23] [Info] Connect stdl.qq.com:80
[2018-08-17 00:03:23] [Info] Connect appstore.browser.qq.com:80
[2018-08-17 00:03:23] [Info] Disconnect stdl.qq.com:80
[2018-08-17 00:03:23] [Info] Disconnect appstore.browser.qq.com:80
[2018-08-17 00:03:26] [Info] Connect qbwup.imtt.qq.com:80
[2018-08-17 00:03:27] [Info] Connect qbwup.imtt.qq.com:80
[2018-08-17 00:03:27] [Info] Connect ssl.ptlogin2.qq.com:443
[2018-08-17 00:03:27] [Info] Connect qbwup.imtt.qq.com:80
[2018-08-17 00:03:27] [Info] Connect ssl.ptlogin2.qq.com:443
[2018-08-17 00:03:27] [Info] Disconnect qbwup.imtt.qq.com:80
[2018-08-17 00:03:27] [Info] Connect qbwup.imtt.qq.com:80
[2018-08-17 00:03:27] [Info] Connect ssl.ptlogin2.qq.com:443
[2018-08-17 00:03:27] [Info] Connect qbwup.imtt.qq.com:80
[2018-08-17 00:03:27] [Info] Disconnect ssl.ptlogin2.qq.com:443
[2018-08-17 00:03:27] [Info] Connect qbwup.imtt.qq.com:80
[2018-08-17 00:03:28] [Info] Disconnect qbwup.imtt.qq.com:80
[2018-08-17 00:03:30] [Info] Connect config.pinyin.sogou.com:80
[2018-08-17 00:03:30] [Info] Connect config.pinyin.sogou.com:80
[2018-08-17 00:03:30] [Info] Connect config.pinyin.sogou.com:80
[2018-08-17 00:03:31] [Info] Disconnect config.pinyin.sogou.com:80
[2018-08-17 00:03:37] [Info] Connect s2.mini.wpscdn.cn:80
[2018-08-17 00:03:37] [Info] Connect s2.mini.wpscdn.cn:80
